Containment_zones,ward,no,pin,address
"RC 3766 400092 Saradar Smriti Chs,Svp Road,Near Chamunda Circle,Borivali West",RC,3766,400092,"Saradar Smriti Chs,Svp Road,Near Chamunda Circle,Borivali West"
"RC 3767 400092 Shri Rajiv Chs,Gorai Road 2,Near Mangal Murti Hospital,Borivali West",RC,3767,400092,"Shri Rajiv Chs,Gorai Road 2,Near Mangal Murti Hospital,Borivali West"
"RC 3768 400092 Saikunj Chs,Vazira Naka Road,,Borivali West",RC,3768,400092,"Saikunj Chs,Vazira Naka Road,,Borivali West"
"RC 3769 400092 Bhoomi Heights Chs,Lt Road,,Borivali West",RC,3769,400092,"Bhoomi Heights Chs,Lt Road,,Borivali West"
"RC 3770 400092 Sai Darshan Chs,Sodawala Lane Road,Near Starling Hospital,Borivali West",RC,3770,400092,"Sai Darshan Chs,Sodawala Lane Road,Near Starling Hospital,Borivali West"
"RC 3771 400092 Swatshila Sadan,,Opp Yogi Tower,Borivali West",RC,3771,400092,"Swatshila Sadan,,Opp Yogi Tower,Borivali West"
"RC 3772 400092 Happy Home Complex,Chikuwadi Link Road,Opp Telephone Exchange,Borivali West",RC,3772,400092,"Happy Home Complex,Chikuwadi Link Road,Opp Telephone Exchange,Borivali West"
"RC 3773 400092 Siddhivinayak Chs, L T Road,Opp Don Bosco School,Borivali West",RC,3773,400092,"Siddhivinayak Chs, L T Road,Opp Don Bosco School,Borivali West"
"RC 3774 400092 Narmada Chs,,,Borivali West",RC,3774,400092,"Narmada Chs,,,Borivali West"
"RC 3775 400092 Dnynda Jagdamba Chs,S V Road,Opp Vijay Sales,Borivali West",RC,3775,400092,"Dnynda Jagdamba Chs,S V Road,Opp Vijay Sales,Borivali West"
"RC 3776 400092 Mugdha Apts,,,Borivali West",RC,3776,400092,"Mugdha Apts,,,Borivali West"
"RC 3777 400092 Shanti Niketan,Mahavir Nagar Road,Beside Pawar School,Borivali West",RC,3777,400092,"Shanti Niketan,Mahavir Nagar Road,Beside Pawar School,Borivali West"
"RC 3778 400092 Yogi Residency,,Hotel Fortune Park,Borivali West",RC,3778,400092,"Yogi Residency,,Hotel Fortune Park,Borivali West"
"RC 3779 400092 Police Officer Quarters,,,Borivali West",RC,3779,400092,"Police Officer Quarters,,,Borivali West"
"RC 3780 400092 Lokmanya Tilak Sra Chs, L T Rd, Babhai Naka,Borivali West",RC,3780,400092,"Lokmanya Tilak Sra Chs, L T Rd, Babhai Naka,Borivali West"
"RC 3781 400092 Rambhau Vithalwadi,, Opp Corporation Bank,Borivali West",RC,3781,400092,"Rambhau Vithalwadi,, Opp Corporation Bank,Borivali West"
"RC 3782 400092 Amar Adarash Nagar, Chandavarkar Lane,Opp Indian Bank,Borivali West",RC,3782,400092,"Amar Adarash Nagar, Chandavarkar Lane,Opp Indian Bank,Borivali West"
"RC 3783 400092 Himanshu Chs,Sodawala Lane Road, Beside Shroff Tower,Borivali West",RC,3783,400092,"Himanshu Chs,Sodawala Lane Road, Beside Shroff Tower,Borivali West"
"RC 3784 400092 Best Quarters, Gorai Sec 1,,Borivali West",RC,3784,400092,"Best Quarters, Gorai Sec 1,,Borivali West"
"RC 3785 400092 Shri Sidhi Chs,Gorai Road 2,,Borivali West",RC,3785,400092,"Shri Sidhi Chs,Gorai Road 2,,Borivali West"
"RC 3786 400092 Mangal Kunj, S V Road,,Borivali West",RC,3786,400092,"Mangal Kunj, S V Road,,Borivali West"
"RC 3787 400092 Madhusudanterrace,Shimpoli Road,,Borivali West",RC,3787,400092,"Madhusudanterrace,Shimpoli Road,,Borivali West"
"RC 3788 400092 Shree Jai Bldg,Mahisasur Mardini Road,Opp Nagmandir Jairaj Nagar,Borivali West",RC,3788,400092,"Shree Jai Bldg,Mahisasur Mardini Road,Opp Nagmandir Jairaj Nagar,Borivali West"
"RC 3789 400092 Staff Quarters Borivali Fire Station,Lt Road,Opp Donbosco Sch,Borivali West",RC,3789,400092,"Staff Quarters Borivali Fire Station,Lt Road,Opp Donbosco Sch,Borivali West"
"RC 3790 400092 Omkar Chs,Gorai Road,,Borivali West",RC,3790,400092,"Omkar Chs,Gorai Road,,Borivali West"
"RC 3791 400092 Ratanjyot Apt,Shimpholi Rd,Opp Gokhle School,Borivali West",RC,3791,400092,"Ratanjyot Apt,Shimpholi Rd,Opp Gokhle School,Borivali West"
"RC 3792 400092 Mahalaxmi Prasad,Saibaba Mandir Road, Nr Hdfc Bank,Borivali West",RC,3792,400092,"Mahalaxmi Prasad,Saibaba Mandir Road, Nr Hdfc Bank,Borivali West"
"RC 3793 400092 Satya Saikrupa Chs,,Chikuwadi,Borivali West",RC,3793,400092,"Satya Saikrupa Chs,,Chikuwadi,Borivali West"
"RC 3794 400092 Shree Govardhan Nagar,,Opp Poisar Gymkhana,Borivali West",RC,3794,400092,"Shree Govardhan Nagar,,Opp Poisar Gymkhana,Borivali West"
"RC 3795 400092 Nutan Nagar Sra Chs,Chandavarkar Rd,,Borivali West",RC,3795,400092,"Nutan Nagar Sra Chs,Chandavarkar Rd,,Borivali West"
"RC 3796 400092 Ranjita Chs,D N Mhatre Road,,Borivali West",RC,3796,400092,"Ranjita Chs,D N Mhatre Road,,Borivali West"
"RC 3797 400092 Nutan Nagar Chs,Chandavarkar Rd,,Borivali West",RC,3797,400092,"Nutan Nagar Chs,Chandavarkar Rd,,Borivali West"
"RC 3798 400092 Darpan Yogi,Eksar Road,,Borivali West",RC,3798,400092,"Darpan Yogi,Eksar Road,,Borivali West"
"RC 3799 400092 Shubharambh,Gorai Road 2,Near Shivneri Gorai,Borivali West",RC,3799,400092,"Shubharambh,Gorai Road 2,Near Shivneri Gorai,Borivali West"
"RC 3800 400092 Indrayani Chs,,Near Saint Rocks School,Borivali West",RC,3800,400092,"Indrayani Chs,,Near Saint Rocks School,Borivali West"
"RC 3801 400092 Sukh Sagar Housing Society,Gorai Road 2,,Borivali West",RC,3801,400092,"Sukh Sagar Housing Society,Gorai Road 2,,Borivali West"
"RC 3802 400092 Swarajya Sadan Chs, Gorai Road 1,Near Mangal Murti Hospital,Borivali West",RC,3802,400092,"Swarajya Sadan Chs, Gorai Road 1,Near Mangal Murti Hospital,Borivali West"
"RC 3803 400092 Borbhat Chs, T P S Road No 3,Opp. Gujarati Seva,Borivali West",RC,3803,400092,"Borbhat Chs, T P S Road No 3,Opp. Gujarati Seva,Borivali West"
"RC 3804 400092 Krishna Heritage,New Link Road,,Borivali West",RC,3804,400092,"Krishna Heritage,New Link Road,,Borivali West"
"RC 3805 400092 Vanashri,, Near Pranay Nagar,Borivali West",RC,3805,400092,"Vanashri,, Near Pranay Nagar,Borivali West"
"RC 3806 400092 Shree Gokul Dham,, Opp Janhai Mandir,Borivali West",RC,3806,400092,"Shree Gokul Dham,, Opp Janhai Mandir,Borivali West"
"RC 3807 400092 Sai Smruti,Vazira Naka,,Borivali West",RC,3807,400092,"Sai Smruti,Vazira Naka,,Borivali West"
"RC 3808 400092 Meghna Chs,L T Road,,Borivali West",RC,3808,400092,"Meghna Chs,L T Road,,Borivali West"
"RC 3809 400092 Borivali Fire Station Stn Staff Qtrs, Lt Rd,,Borivali West",RC,3809,400092,"Borivali Fire Station Stn Staff Qtrs, Lt Rd,,Borivali West"
"RC 3810 400092 Meghna Apartment,Malharrao Kulkarni Marg,,Borivali West",RC,3810,400092,"Meghna Apartment,Malharrao Kulkarni Marg,,Borivali West"
"RC 3811 400092 Police Offices,Eksar Road,,Borivali West",RC,3811,400092,"Police Offices,Eksar Road,,Borivali West"
"RC 3812 400092 Apex Hospital,Opp. Sai Hyundai Workshop,Off Western Exp Highway,Borivali East",RC,3812,400092,"Apex Hospital,Opp. Sai Hyundai Workshop,Off Western Exp Highway,Borivali East"
"RC 3813 400092 Madhu Milan,Eksar Road, Near Devki Nagar Stop,Borivali West",RC,3813,400092,"Madhu Milan,Eksar Road, Near Devki Nagar Stop,Borivali West"
"RC 3814 400092 Arihan Chs,Gorai - 1 Road,Shimpoli Pumping Station,Borivali West",RC,3814,400092,"Arihan Chs,Gorai - 1 Road,Shimpoli Pumping Station,Borivali West"
"RC 3815 400092 Gorai Suryakiran,Gorai - 1 Road,,Borivali West",RC,3815,400092,"Gorai Suryakiran,Gorai - 1 Road,,Borivali West"
"RC 3816 400092 Swagat Chs,Gorai-2 Road,Near Vitthal Mandir,Borivali West",RC,3816,400092,"Swagat Chs,Gorai-2 Road,Near Vitthal Mandir,Borivali West"
"RC 3817 400092 Pooja Chs,Gorai 2 Creek,,Borivali West",RC,3817,400092,"Pooja Chs,Gorai 2 Creek,,Borivali West"
"RC 3818 400092 Vandana Chs,Gorai - 1 Road,,Borivali West",RC,3818,400092,"Vandana Chs,Gorai - 1 Road,,Borivali West"
"RC 3819 400092 Kalptaru Co Op Soceity,,Nr Suvidha School,Borivali West",RC,3819,400092,"Kalptaru Co Op Soceity,,Nr Suvidha School,Borivali West"
"RC 3820 400092 Sanmitra Soc, Rd Gorai 2,Mangalmurti Hospital,Borivali West",RC,3820,400092,"Sanmitra Soc, Rd Gorai 2,Mangalmurti Hospital,Borivali West"
"RC 3821 400092 Kent Gardens,Tps Rd,Factory Lane,Borivali West",RC,3821,400092,"Kent Gardens,Tps Rd,Factory Lane,Borivali West"
"RC 3822 400092 Railnagar Chs,Lt Rd,Vazira Naka,Borivali West",RC,3822,400092,"Railnagar Chs,Lt Rd,Vazira Naka,Borivali West"
"RC 3823 400092 Om Samarpan Building,Shimpoli Road,,Borivali West",RC,3823,400092,"Om Samarpan Building,Shimpoli Road,,Borivali West"
"RC 3824 400092 Mrudkishor Building,Dattapada Rd,Nr Gokul Shopping,Borivali West",RC,3824,400092,"Mrudkishor Building,Dattapada Rd,Nr Gokul Shopping,Borivali West"
"RC 3825 400092 Meghna Behind Ganesh Mandir,Behind Ganesh Mandir,Vazira Naka,Borivali West",RC,3825,400092,"Meghna Behind Ganesh Mandir,Behind Ganesh Mandir,Vazira Naka,Borivali West"
"RC 3826 400092 Rageshree Chs,Sodawalalane,Near Chamunda Circle,Borivali West",RC,3826,400092,"Rageshree Chs,Sodawalalane,Near Chamunda Circle,Borivali West"
"RC 3827 400092 Jai Maa Ashapura Niwas,Gorai,Gorai 1,Borivali West",RC,3827,400092,"Jai Maa Ashapura Niwas,Gorai,Gorai 1,Borivali West"
"RC 3828 400092 Arihant,,Gorai 1,Borivali West",RC,3828,400092,"Arihant,,Gorai 1,Borivali West"
"RC 3829 400092 Bhagvivodaya Soc,Sector 1,Gorai,Borivali West",RC,3829,400092,"Bhagvivodaya Soc,Sector 1,Gorai,Borivali West"
"RC 3830 400092 Sai Prasad Chs,Nr Datta Mandir Rd,Gorai 2,Borivali West",RC,3830,400092,"Sai Prasad Chs,Nr Datta Mandir Rd,Gorai 2,Borivali West"
"RC 3831 400092 Rail Nagar, Lt Road,Near Ganesh Mandir,Borivali West",RC,3831,400092,"Rail Nagar, Lt Road,Near Ganesh Mandir,Borivali West"
"RC 3832 400092 Sanskriti Chs,Link Road,Above Icici Bank,Borivali West",RC,3832,400092,"Sanskriti Chs,Link Road,Above Icici Bank,Borivali West"
"RC 3834 400092 Omkar Apartment,New Mhb Colony Road,,Borivali West",RC,3834,400092,"Omkar Apartment,New Mhb Colony Road,,Borivali West"
"RC 3835 400092 Prapti Chs,,,Borivali West",RC,3835,400092,"Prapti Chs,,,Borivali West"
"RC 3836 400092 Meghana Chs,Mk Marg,Opp Don Bosco,Borivali West",RC,3836,400092,"Meghana Chs,Mk Marg,Opp Don Bosco,Borivali West"
"RC 3837 400092 Rawte House,,,Borivali West",RC,3837,400092,"Rawte House,,,Borivali West"
"RC 3838 400092 Jay Bhavani Apt,Soda Vala Lane,,Borivali West",RC,3838,400092,"Jay Bhavani Apt,Soda Vala Lane,,Borivali West"
"RC 3839 400092 Shilabina Apt,Eksar Road,Near Esksar Village,Borivali West",RC,3839,400092,"Shilabina Apt,Eksar Road,Near Esksar Village,Borivali West"
"RC 3840 400092 Sai Krupa Society,Chandavarkar Road,,Borivali West",RC,3840,400092,"Sai Krupa Society,Chandavarkar Road,,Borivali West"
"RC 3841 400092 Nutan Nagar Sra,Chandavarkar Road,,Borivali West",RC,3841,400092,"Nutan Nagar Sra,Chandavarkar Road,,Borivali West"
"RC 3842 400092 Abhilasha Society,Gorai Road No2,,Borivali West",RC,3842,400092,"Abhilasha Society,Gorai Road No2,,Borivali West"
"RC 3843 400092 Ashirwad Society,,Behind Mangalmurti Hospital,Borivali West",RC,3843,400092,"Ashirwad Society,,Behind Mangalmurti Hospital,Borivali West"
"RC 3844 400092 Shirodkar Guru Datta Mandir,Link Road,Behind Yogi Tower,Borivali West",RC,3844,400092,"Shirodkar Guru Datta Mandir,Link Road,Behind Yogi Tower,Borivali West"
"RC 3845 400092 Bhattewa Krupa Bldg,56 Tps Road,,Borivali West",RC,3845,400092,"Bhattewa Krupa Bldg,56 Tps Road,,Borivali West"
"RC 3846 400092 Build N 7A Dattkrupa Chs Ltd,Gorai Rd,Opp Vaishnav Shopping Center,Borivali West",RC,3846,400092,"Build N 7A Dattkrupa Chs Ltd,Gorai Rd,Opp Vaishnav Shopping Center,Borivali West"
"RC 3847 400092 Olb Mhb Colony,Gorai Rd,,Borivali West",RC,3847,400092,"Olb Mhb Colony,Gorai Rd,,Borivali West"
"RC 3848 400092 Krishna Heritage,New Linke Road,Opp Don Bosco High School,Borivali West",RC,3848,400092,"Krishna Heritage,New Linke Road,Opp Don Bosco High School,Borivali West"
"RC 3849 400092 Veena Bhavna Chs,,,Borivali West",RC,3849,400092,"Veena Bhavna Chs,,,Borivali West"
"RC 3850 400092 Shiv Shakti Society, Chandvarkar Road, Near Ambaji Mata Mandir,Borivali West",RC,3850,400092,"Shiv Shakti Society, Chandvarkar Road, Near Ambaji Mata Mandir,Borivali West"
"RC 3851 400092 Rajendra Chs,Sodawala Lane,,Borivali West",RC,3851,400092,"Rajendra Chs,Sodawala Lane,,Borivali West"
"RC 3852 400092 Omsai Darshan,,,Borivali West",RC,3852,400092,"Omsai Darshan,,,Borivali West"
"RC 3853 400092 Shree Shiddeshwar Chs Ltd,Gorai -2,Near Suvidha School,Borivali West",RC,3853,400092,"Shree Shiddeshwar Chs Ltd,Gorai -2,Near Suvidha School,Borivali West"
"RC 3854 400092 Prerna Chs,Gorai-2,,Borivali West",RC,3854,400092,"Prerna Chs,Gorai-2,,Borivali West"
"RC 3855 400092 Ganmrurti Socity,Gorai Road,,Borivali West",RC,3855,400092,"Ganmrurti Socity,Gorai Road,,Borivali West"
"RC 3856 400092 Aum Bungalow, Gorai 2,,Borivali West",RC,3856,400092,"Aum Bungalow, Gorai 2,,Borivali West"
"RC 3857 400092 Surbhi Apt,Svp Road,,Borivali West",RC,3857,400092,"Surbhi Apt,Svp Road,,Borivali West"
"RC 3858 400092 Rasraj Height,Rokadia Lane,,Borivali West",RC,3858,400092,"Rasraj Height,Rokadia Lane,,Borivali West"
"RC 3859 400101 Marigold Valery,Thakur Village Road,Thakur Village,Kandivali East",RC,3859,400101,"Marigold Valery,Thakur Village Road,Thakur Village,Kandivali East"
"RC 3860 400101 Shivalik Tower,Thakur Complex,,Kandivali East",RC,3860,400101,"Shivalik Tower,Thakur Complex,,Kandivali East"
"RC 3861 400101 Greenfield Society,S V Road, Near Poisar Depot,Kandivali West",RC,3861,400101,"Greenfield Society,S V Road, Near Poisar Depot,Kandivali West"
"RC 3862 400101 Silver Arch Lady,Fatima Lane,Poisar,Kandivali West",RC,3862,400101,"Silver Arch Lady,Fatima Lane,Poisar,Kandivali West"
"RC 3863 400101 Krishna Appartment,S V Road, Near Poisar Depot,Kandivali West",RC,3863,400101,"Krishna Appartment,S V Road, Near Poisar Depot,Kandivali West"
"RC 3864 400101 Amruta Building,Charkop Sec 7,,Kandivali West",RC,3864,400101,"Amruta Building,Charkop Sec 7,,Kandivali West"
"RC 3865 400101 Sadguru Chs,,Near Charkop Market,Kandivali West",RC,3865,400101,"Sadguru Chs,,Near Charkop Market,Kandivali West"
"RC 3866 400101 Punnyat Building,Charkop Sec 7,Near Sanskar School,Kandivali West",RC,3866,400101,"Punnyat Building,Charkop Sec 7,Near Sanskar School,Kandivali West"
"RC 3867 400101 Virat Soc,Sector No-3 Charkop,,Kandivali West",RC,3867,400101,"Virat Soc,Sector No-3 Charkop,,Kandivali West"
"RC 3868 400101 Satyam Tower, 90 Feet Road,Thakur Complex,Kandivali East",RC,3868,400101,"Satyam Tower, 90 Feet Road,Thakur Complex,Kandivali East"
"RC 3869 400101 Govardhan Nagar Chs,,,Kandivali West",RC,3869,400101,"Govardhan Nagar Chs,,,Kandivali West"
"RC 3870 400101 Pooja Apts, Fatima Devi Rd,Opp Poisar Depot,Kandivali West",RC,3870,400101,"Pooja Apts, Fatima Devi Rd,Opp Poisar Depot,Kandivali West"
"RC 3871 400101 Shantiniketan Sra Chs Ltd, Mahiavir Nagar Sector 9,Near Pawar Public School,Kandivali West",RC,3871,400101,"Shantiniketan Sra Chs Ltd, Mahiavir Nagar Sector 9,Near Pawar Public School,Kandivali West"
"RC 3872 400101 Antony House,St. Anthony Road,Opp Poisar Depot,Kandivali West",RC,3872,400101,"Antony House,St. Anthony Road,Opp Poisar Depot,Kandivali West"
"RC 3873 400101 Ujwal Bhavishya Co Op Soc, Sector-4 Charkop,,Kandivali West",RC,3873,400101,"Ujwal Bhavishya Co Op Soc, Sector-4 Charkop,,Kandivali West"
"RC 3874 400101 Sneha Chs,Sec 3 Charkop,,Kandivali West",RC,3874,400101,"Sneha Chs,Sec 3 Charkop,,Kandivali West"
"RC 3875 400101 Charkop Omkar Swaroop Chs Ltd,Charkop Sector No 8,,Kandivali West",RC,3875,400101,"Charkop Omkar Swaroop Chs Ltd,Charkop Sector No 8,,Kandivali West"
